,index,latitude,locationid,longitude,year,costs,trainees_total,trainees_pass
55,6365,62.94361111,01A,152.27,2004,1755,82071,66
56,5365,62.94361111,01A,152.27,2005,700,66360,670
57,8365,62.94361111,01A,152.27,2006,7245,32045,98
58,13365,62.94361111,01A,152.27,2007,436,10080,18
59,365,62.94361111,01A,152.27,2008,4870,5966,142
60,3365,62.94361111,01A,152.27,2009,2372,53757,65
61,7365,62.94361111,01A,152.27,2010,3890,17442,686
62,9365,62.94361111,01A,152.27,2011,758,39976,49
63,14365,62.94361111,01A,152.27,2012,1340,21522,288
64,12365,62.94361111,01A,152.27,2013,294,24922,860
65,4365,62.94361111,01A,152.27,2014,2097,63688,531
66,1365,62.94361111,01A,152.27,2015,252,79431,333
67,15365,62.94361111,01A,152.27,2016,4000,54180,408
68,4589,32.94583333,01AL,86.51388889,2000,6286,14985,460
69,1589,32.94583333,01AL,86.51388889,2001,1362,27720,9
70,2589,32.94583333,01AL,86.51388889,2002,90,8624,200
71,10589,32.94583333,01AL,86.51388889,2003,420,84825,134
72,12589,32.94583333,01AL,86.51388889,2004,1872,67518,252
73,5589,32.94583333,01AL,86.51388889,2005,1256,20328,100
74,13589,32.94583333,01AL,86.51388889,2006,6174,81770,82
75,14589,32.94583333,01AL,86.51388889,2007,526,33840,828
76,8589,32.94583333,01AL,86.51388889,2008,810,7999,122
77,589,32.94583333,01AL,86.51388889,2009,144,44946,76
78,9589,32.94583333,01AL,86.51388889,2010,2330,17388,378
79,6589,32.94583333,01AL,86.51388889,2011,972,66880,4
80,7589,32.94583333,01AL,86.51388889,2012,3740,12988,192
81,15589,32.94583333,01AL,86.51388889,2013,336,15300,700
82,11589,32.94583333,01AL,86.51388889,2014,180,59888,513
83,3589,32.94583333,01AL,86.51388889,2015,468,28635,387
84,16589,32.94583333,01AL,86.51388889,2016,465,52850,544
85,2588,32.85055556,02A,86.61138889,2000,4760,39447,90
86,16588,32.85055556,02A,86.61138889,2001,956,34160,47
87,8588,32.85055556,02A,86.61138889,2002,1791,61754,72
88,7588,32.85055556,02A,86.61138889,2003,110,12180,142
89,14588,32.85055556,02A,86.61138889,2004,7785,32670,126
90,588,32.85055556,02A,86.61138889,2005,1680,64260,830
91,11588,32.85055556,02A,86.61138889,2006,4401,37740,28
92,12588,32.85055556,02A,86.61138889,2007,1716,44235,144
93,10588,32.85055556,02A,86.61138889,2008,1750,9652,106
94,9588,32.85055556,02A,86.61138889,2009,3960,51876,23
95,5588,32.85055556,02A,86.61138889,2010,8960,43902,28
96,1588,32.85055556,02A,86.61138889,2011,1398,68628,58
97,13588,32.85055556,02A,86.61138889,2012,4380,33558,336
98,3588,32.85055556,02A,86.61138889,2013,498,4964,970
99,6588,32.85055556,02A,86.61138889,2014,2226,68552,63
100,4588,32.85055556,02A,86.61138889,2015,1198,19505,144
101,15588,32.85055556,02A,86.61138889,2016,2675,37730,592
102,535,61.87694444,02AK,150.0977778,2000,6055,78003,330
103,8535,61.87694444,02AK,150.0977778,2001,1798,34300,20
104,6535,61.87694444,02AK,150.0977778,2002,189,53361,248
105,13535,61.87694444,02AK,150.0977778,2003,1864,66381,42
106,12535,61.87694444,02AK,150.0977778,2004,7155,27522,276
107,1535,61.87694444,02AK,150.0977778,2005,478,80472,670
108,16535,61.87694444,02AK,150.0977778,2006,7344,32470,91
109,11535,61.87694444,02AK,150.0977778,2007,384,15885,396
110,15535,61.87694444,02AK,150.0977778,2008,3040,16777,160
111,10535,61.87694444,02AK,150.0977778,2009,2728,54450,72
112,5535,61.87694444,02AK,150.0977778,2010,9010,15876,602
113,2535,61.87694444,02AK,150.0977778,2011,1494,62472,85
114,4535,61.87694444,02AK,150.0977778,2012,4505,20876,388
115,7535,61.87694444,02AK,150.0977778,2013,274,4828,100
116,14535,61.87694444,02AK,150.0977778,2014,1566,35264,297
117,9535,61.87694444,02AK,150.0977778,2015,1712,66400,378
118,3535,61.87694444,02AK,150.0977778,2016,580,42700,752
119,7620,30.37138889,02AL,87.76444444,2000,623,76140,465
120,10620,30.37138889,02AL,87.76444444,2001,726,22820,60
121,2620,30.37138889,02AL,87.76444444,2002,5868,68607,284
122,13620,30.37138889,02AL,87.76444444,2003,458,68556,142
123,3620,30.37138889,02AL,87.76444444,2004,2457,33957,132
124,8620,30.37138889,02AL,87.76444444,2005,1218,81144,510
125,9620,30.37138889,02AL,87.76444444,2006,5697,39780,19
126,4620,30.37138889,02AL,87.76444444,2007,1164,30645,495
127,15620,30.37138889,02AL,87.76444444,2008,740,4123,110
128,14620,30.37138889,02AL,87.76444444,2009,2048,95535,40
129,11620,30.37138889,02AL,87.76444444,2010,9240,42282,49
130,12620,30.37138889,02AL,87.76444444,2011,1838,43244,40
131,5620,30.37138889,02AL,87.76444444,2012,1945,14008,48
132,1620,30.37138889,02AL,87.76444444,2013,499,22950,730
133,620,30.37138889,02AL,87.76444444,2014,1527,65132,54
134,16620,30.37138889,02AL,87.76444444,2015,1654,56689,171
135,6620,30.37138889,02AL,87.76444444,2016,3125,15120,128
136,2866,34.8225,02AR,92.44444444,2000,4291,54270,65
137,7866,34.8225,02AR,92.44444444,2001,42,21630,54
138,3866,34.8225,02AR,92.44444444,2002,6507,61061,400
139,4866,34.8225,02AR,92.44444444,2003,1366,50982,62
140,15866,34.8225,02AR,92.44444444,2004,1017,50391,63
141,13866,34.8225,02AR,92.44444444,2005,848,35112,20
142,6866,34.8225,02AR,92.44444444,2006,5319,14960,43
143,11866,34.8225,02AR,92.44444444,2007,904,18990,108
144,8866,34.8225,02AR,92.44444444,2008,3240,12540,166
145,9866,34.8225,02AR,92.44444444,2009,2144,26433,18
146,16866,34.8225,02AR,92.44444444,2010,2570,34938,28
147,10866,34.8225,02AR,92.44444444,2011,1360,14516,75
148,12866,34.8225,02AR,92.44444444,2012,4330,17544,124
149,14866,34.8225,02AR,92.44444444,2013,469,11220,1000
150,866,34.8225,02AR,92.44444444,2014,951,73264,630
151,5866,34.8225,02AR,92.44444444,2015,1780,33366,144
152,1866,34.8225,02AR,92.44444444,2016,4650,68670,160
153,11668,31.73611111,04A,86.26222222,2000,6020,12960,400
154,13668,31.73611111,04A,86.26222222,2001,836,25515,32
155,5668,31.73611111,04A,86.26222222,2002,6669,58058,160
156,14668,31.73611111,04A,86.26222222,2003,1314,67077,64
157,9668,31.73611111,04A,86.26222222,2004,2970,77517,39
158,1668,31.73611111,04A,86.26222222,2005,1372,48972,280
159,8668,31.73611111,04A,86.26222222,2006,8334,36465,86
160,7668,31.73611111,04A,86.26222222,2007,144,10215,486
161,15668,31.73611111,04A,86.26222222,2008,1455,16587,74
162,2668,31.73611111,04A,86.26222222,2009,2316,11088,52
163,668,31.73611111,04A,86.26222222,2010,5650,25974,378
164,3668,31.73611111,04A,86.26222222,2011,324,10868,16
165,12668,31.73611111,04A,86.26222222,2012,4915,3502,352
166,4668,31.73611111,04A,86.26222222,2013,470,9690,240
167,6668,31.73611111,04A,86.26222222,2014,1875,15884,468
168,10668,31.73611111,04A,86.26222222,2015,1758,35358,477
169,16668,31.73611111,04A,86.26222222,2016,3660,41580,352
170,13335,61.66861111,05AK,149.1875,2000,1246,54108,295
171,15335,61.66861111,05AK,149.1875,2001,1264,8470,39
172,7335,61.66861111,05AK,149.1875,2002,6480,71225,88
173,3335,61.66861111,05AK,149.1875,2003,802,52983,176
174,11335,61.66861111,05AK,149.1875,2004,5355,60984,279
175,335,61.66861111,05AK,149.1875,2005,1822,29568,100
176,1335,61.66861111,05AK,149.1875,2006,2736,75735,5
177,16335,61.66861111,05AK,149.1875,2007,1742,18720,711
178,5335,61.66861111,05AK,149.1875,2008,3865,3781,104
179,10335,61.66861111,05AK,149.1875,2009,3660,52173,72
180,4335,61.66861111,05AK,149.1875,2010,7960,16416,644
181,2335,61.66861111,05AK,149.1875,2011,270,58140,72
182,8335,61.66861111,05AK,149.1875,2012,925,15674,136
183,14335,61.66861111,05AK,149.1875,2013,891,33422,260
184,9335,61.66861111,05AK,149.1875,2014,1563,29640,702
185,6335,61.66861111,05AK,149.1875,2015,1526,72625,855
186,12335,61.66861111,05AK,149.1875,2016,4065,35280,176
187,15857,36.00055556,05AR,93.57027778,2000,2891,59697,55
188,5857,36.00055556,05AR,93.57027778,2001,1774,13965,86
189,1857,36.00055556,05AR,93.57027778,2002,5886,38423,364
190,9857,36.00055556,05AR,93.57027778,2003,92,83346,98
191,8857,36.00055556,05AR,93.57027778,2004,5013,99000,117
192,13857,36.00055556,05AR,93.57027778,2005,1868,17136,560
193,16857,36.00055556,05AR,93.57027778,2006,1692,35955,71
194,6857,36.00055556,05AR,93.57027778,2007,1090,15210,261
195,11857,36.00055556,05AR,93.57027778,2008,3010,9177,2
196,10857,36.00055556,05AR,93.57027778,2009,452,58014,44
197,14857,36.00055556,05AR,93.57027778,2010,6770,27054,420
198,2857,36.00055556,05AR,93.57027778,2011,1122,49172,100
199,12857,36.00055556,05AR,93.57027778,2012,4470,28118,284
200,857,36.00055556,05AR,93.57027778,2013,695,14076,300
201,3857,36.00055556,05AR,93.57027778,2014,393,70148,657
202,7857,36.00055556,05AR,93.57027778,2015,1938,9545,153
203,4857,36.00055556,05AR,93.57027778,2016,4390,62510,304
204,14955,33.07916667,05XS,91.54305556,2000,6958,64557,480
205,10955,33.07916667,05XS,91.54305556,2001,634,32655,92
206,16955,33.07916667,05XS,91.54305556,2002,3654,21406,260
207,15955,33.07916667,05XS,91.54305556,2003,542,34539,196
208,2955,33.07916667,05XS,91.54305556,2004,2007,55242,189
209,1955,33.07916667,05XS,91.54305556,2005,1414,37296,770
210,11955,33.07916667,05XS,91.54305556,2006,8163,68255,93
211,8955,33.07916667,05XS,91.54305556,2007,1118,38520,144
212,9955,33.07916667,05XS,91.54305556,2008,1030,7581,62
213,12955,33.07916667,05XS,91.54305556,2009,2756,16830,53
214,6955,33.07916667,05XS,91.54305556,2010,5330,42498,679
215,955,33.07916667,05XS,91.54305556,2011,1660,40812,77
216,13955,33.07916667,05XS,91.54305556,2012,4340,15640,152
217,3955,33.07916667,05XS,91.54305556,2013,17,9282,460
218,4955,33.07916667,05XS,91.54305556,2014,1392,43092,90
219,7955,33.07916667,05XS,91.54305556,2015,58,64242,720
220,5955,33.07916667,05XS,91.54305556,2016,3100,33320,296
221,729,32.46055556,06A,85.68,2000,707,68931,315
222,1729,32.46055556,06A,85.68,2001,1010,21665,24
223,7729,32.46055556,06A,85.68,2002,2043,68145,20
224,12729,32.46055556,06A,85.68,2003,1498,79431,186
225,6729,32.46055556,06A,85.68,2004,2151,11880,282
226,14729,32.46055556,06A,85.68,2005,628,27384,430
227,11729,32.46055556,06A,85.68,2006,2232,72250,30
228,3729,32.46055556,06A,85.68,2007,1404,9315,675
229,16729,32.46055556,06A,85.68,2008,1545,15067,126
230,8729,32.46055556,06A,85.68,2009,2396,56826,55
231,13729,32.46055556,06A,85.68,2010,9750,17118,7
232,15729,32.46055556,06A,85.68,2011,1032,52896,37
233,4729,32.46055556,06A,85.68,2012,2680,31552,236
234,9729,32.46055556,06A,85.68,2013,422,31110,280
235,2729,32.46055556,06A,85.68,2014,1881,51072,171
236,10729,32.46055556,06A,85.68,2015,1304,34528,252
237,5729,32.46055556,06A,85.68,2016,2080,29820,336
238,9497,61.6275,06AK,149.5752778,2000,4900,26973,275
239,16497,61.6275,06AK,149.5752778,2001,1602,22225,23
240,7497,61.6275,06AK,149.5752778,2002,2943,67452,284
241,4497,61.6275,06AK,149.5752778,2003,142,70035,124
242,14497,61.6275,06AK,149.5752778,2004,6345,32175,99
243,1497,61.6275,06AK,149.5752778,2005,1690,12348,160
244,12497,61.6275,06AK,149.5752778,2006,6885,26605,62
245,8497,61.6275,06AK,149.5752778,2007,442,31455,711
246,15497,61.6275,06AK,149.5752778,2008,2955,11552,12
247,2497,61.6275,06AK,149.5752778,2009,796,43263,27
248,497,61.6275,06AK,149.5752778,2010,3290,14742,119
249,3497,61.6275,06AK,149.5752778,2011,1944,8816,30
250,13497,61.6275,06AK,149.5752778,2012,3645,22440,32
251,10497,61.6275,06AK,149.5752778,2013,673,16048,970
252,6497,61.6275,06AK,149.5752778,2014,1524,19456,603
253,11497,61.6275,06AK,149.5752778,2015,1684,9711,450
254,5497,61.6275,06AK,149.5752778,2016,605,20160,512
255,1845,35.54444444,06AR,92.185,2000,777,38070,380
256,13845,35.54444444,06AR,92.185,2001,36,23695,94
257,8845,35.54444444,06AR,92.185,2002,7659,55055,256
258,10845,35.54444444,06AR,92.185,2003,92,46545,120
259,11845,35.54444444,06AR,92.185,2004,5778,43659,186
260,9845,35.54444444,06AR,92.185,2005,1042,56112,670
261,16845,35.54444444,06AR,92.185,2006,5166,82705,42
262,14845,35.54444444,06AR,92.185,2007,608,40500,333
263,5845,35.54444444,06AR,92.185,2008,1255,9671,2
264,3845,35.54444444,06AR,92.185,2009,2000,83853,12
265,845,35.54444444,06AR,92.185,2010,9590,15606,686
266,6845,35.54444444,06AR,92.185,2011,222,23256,3
267,2845,35.54444444,06AR,92.185,2012,4890,31892,272
268,15845,35.54444444,06AR,92.185,2013,349,14008,420
269,4845,35.54444444,06AR,92.185,2014,1323,33516,495
270,7845,35.54444444,06AR,92.185,2015,1382,14193,432
271,12845,35.54444444,06AR,92.185,2016,2825,35210,80
272,4731,32.16694444,07A,85.80972222,2000,4753,48114,215
273,11731,32.16694444,07A,85.80972222,2001,288,9870,35
274,8731,32.16694444,07A,85.80972222,2002,7281,67144,396
275,9731,32.16694444,07A,85.80972222,2003,1698,54201,158
276,13731,32.16694444,07A,85.80972222,2004,3096,72072,144
277,2731,32.16694444,07A,85.80972222,2005,1776,32172,640
278,15731,32.16694444,07A,85.80972222,2006,1602,33575,22
279,5731,32.16694444,07A,85.80972222,2007,1450,26685,423
280,6731,32.16694444,07A,85.80972222,2008,4015,3648,96
281,7731,32.16694444,07A,85.80972222,2009,760,65736,84
282,3731,32.16694444,07A,85.80972222,2010,4340,48330,175
283,731,32.16694444,07A,85.80972222,2011,1180,61788,65
284,12731,32.16694444,07A,85.80972222,2012,975,15062,300
285,1731,32.16694444,07A,85.80972222,2013,583,15062,250
286,16731,32.16694444,07A,85.80972222,2014,2436,20672,225
287,14731,32.16694444,07A,85.80972222,2015,1276,41500,252
288,10731,32.16694444,07A,85.80972222,2016,4250,54670,336
289,13891,35.19444444,07AR,92.80027778,2000,6517,24624,205
290,5891,35.19444444,07AR,92.80027778,2001,1964,31185,73
291,10891,35.19444444,07AR,92.80027778,2002,4968,48664,320
292,3891,35.19444444,07AR,92.80027778,2003,1164,44979,84
293,14891,35.19444444,07AR,92.80027778,2004,4176,67518,39
294,7891,35.19444444,07AR,92.80027778,2005,14,80304,230
295,9891,35.19444444,07AR,92.80027778,2006,6966,55420,62
296,15891,35.19444444,07AR,92.80027778,2007,408,14400,126
297,12891,35.19444444,07AR,92.80027778,2008,3805,10811,6
298,6891,35.19444444,07AR,92.80027778,2009,3064,37323,100
299,2891,35.19444444,07AR,92.80027778,2010,2170,29214,630
300,11891,35.19444444,07AR,92.80027778,2011,936,66424,86
301,4891,35.19444444,07AR,92.80027778,2012,1285,33218,292
302,8891,35.19444444,07AR,92.80027778,2013,136,23562,370
303,891,35.19444444,07AR,92.80027778,2014,2274,75088,639
304,1891,35.19444444,07AR,92.80027778,2015,984,39757,423
305,16891,35.19444444,07AR,92.80027778,2016,1000,67760,256
306,5735,32.52944444,08A,86.32833333,2000,3773,12555,115
307,2735,32.52944444,08A,86.32833333,2001,1722,11270,70
308,735,32.52944444,08A,86.32833333,2002,8604,54824,140
309,8735,32.52944444,08A,86.32833333,2003,1036,43761,158
310,10735,32.52944444,08A,86.32833333,2004,3987,35442,30
311,9735,32.52944444,08A,86.32833333,2005,586,20328,90
312,1735,32.52944444,08A,86.32833333,2006,7902,63070,38
313,13735,32.52944444,08A,86.32833333,2007,1880,6345,387
314,14735,32.52944444,08A,86.32833333,2008,2735,8683,104
315,16735,32.52944444,08A,86.32833333,2009,592,22275,7
316,11735,32.52944444,08A,86.32833333,2010,2560,19494,665
317,15735,32.52944444,08A,86.32833333,2011,504,49628,81
318,3735,32.52944444,08A,86.32833333,2012,2330,13498,12
319,7735,32.52944444,08A,86.32833333,2013,591,7922,700
320,12735,32.52944444,08A,86.32833333,2014,2532,12388,864
321,6735,32.52944444,08A,86.32833333,2015,248,46397,828
322,4735,32.52944444,08A,86.32833333,2016,1640,25130,376
323,15045,61.56972222,08AK,149.7244444,2000,2261,72576,75
324,4045,61.56972222,08AK,149.7244444,2001,222,33005,76
325,5045,61.56972222,08AK,149.7244444,2002,5904,44275,112
326,9045,61.56972222,08AK,149.7244444,2003,324,60552,28
327,3045,61.56972222,08AK,149.7244444,2004,1467,46134,141
328,11045,61.56972222,08AK,149.7244444,2005,530,29064,80
329,6045,61.56972222,08AK,149.7244444,2006,3582,81430,57
330,16045,61.56972222,08AK,149.7244444,2007,138,37980,576
331,45,61.56972222,08AK,149.7244444,2008,4120,4332,36
332,13045,61.56972222,08AK,149.7244444,2009,564,25740,9
333,8045,61.56972222,08AK,149.7244444,2010,5600,30564,364
334,7045,61.56972222,08AK,149.7244444,2011,640,34732,48
335,1045,61.56972222,08AK,149.7244444,2012,455,4862,212
336,14045,61.56972222,08AK,149.7244444,2013,645,4352,770
337,2045,61.56972222,08AK,149.7244444,2014,2787,30932,207
338,12045,61.56972222,08AK,149.7244444,2015,1970,56855,153
339,10045,61.56972222,08AK,149.7244444,2016,2150,66640,128
340,11577,32.11944444,09A,88.1275,2000,2800,39528,180
341,6577,32.11944444,09A,88.1275,2001,1030,34300,48
342,13577,32.11944444,09A,88.1275,2002,7668,27951,208
343,12577,32.11944444,09A,88.1275,2003,1542,21402,46
344,8577,32.11944444,09A,88.1275,2004,5535,20493,165
345,7577,32.11944444,09A,88.1275,2005,1938,25032,240
346,16577,32.11944444,09A,88.1275,2006,3069,51085,62
347,9577,32.11944444,09A,88.1275,2007,990,33030,423
348,15577,32.11944444,09A,88.1275,2008,745,2356,140
349,3577,32.11944444,09A,88.1275,2009,3840,97119,24
350,2577,32.11944444,09A,88.1275,2010,470,28404,7
351,1577,32.11944444,09A,88.1275,2011,198,25612,55
352,10577,32.11944444,09A,88.1275,2012,160,13124,240
353,577,32.11944444,09A,88.1275,2013,912,15844,640
354,14577,32.11944444,09A,88.1275,2014,2871,70300,45
355,5577,32.11944444,09A,88.1275,2015,1348,65985,171
356,4577,32.11944444,09A,88.1275,2016,4900,7770,440
357,4050,61.58944444,09AK,149.8472222,2000,840,36855,205
358,11050,61.58944444,09AK,149.8472222,2001,1198,31185,19
359,7050,61.58944444,09AK,149.8472222,2002,5598,50127,52
360,3050,61.58944444,09AK,149.8472222,2003,1596,55941,146
361,13050,61.58944444,09AK,149.8472222,2004,6822,53163,60
362,14050,61.58944444,09AK,149.8472222,2005,1186,18900,850
363,10050,61.58944444,09AK,149.8472222,2006,1602,59500,39
364,8050,61.58944444,09AK,149.8472222,2007,318,6840,504
365,6050,61.58944444,09AK,149.8472222,2008,2950,5111,58
366,12050,61.58944444,09AK,149.8472222,2009,2396,85536,14
367,16050,61.58944444,09AK,149.8472222,2010,1290,11448,112
368,15050,61.58944444,09AK,149.8472222,2011,92,21432,86
369,50,61.58944444,09AK,149.8472222,2012,3605,26384,200
370,1050,61.58944444,09AK,149.8472222,2013,652,33388,740
371,9050,61.58944444,09AK,149.8472222,2014,954,72048,396
372,5050,61.58944444,09AK,149.8472222,2015,202,27141,144
373,2050,61.58944444,09AK,149.8472222,2016,4320,35490,520
374,583,32.93694444,0A8,87.09055556,2000,3297,66177,440
375,6583,32.93694444,0A8,87.09055556,2001,1392,23940,14
376,4583,32.93694444,0A8,87.09055556,2002,576,26257,112
377,11583,32.93694444,0A8,87.09055556,2003,900,31581,118
378,3583,32.93694444,0A8,87.09055556,2004,3645,52173,93
379,9583,32.93694444,0A8,87.09055556,2005,38,33600,860
380,14583,32.93694444,0A8,87.09055556,2006,8244,63750,98
381,5583,32.93694444,0A8,87.09055556,2007,1352,33795,189
382,1583,32.93694444,0A8,87.09055556,2008,20,13034,154
383,2583,32.93694444,0A8,87.09055556,2009,88,72567,69
384,7583,32.93694444,0A8,87.09055556,2010,510,42768,693
385,16583,32.93694444,0A8,87.09055556,2011,1762,17480,43
386,10583,32.93694444,0A8,87.09055556,2012,3210,9010,164
387,12583,32.93694444,0A8,87.09055556,2013,95,3434,500
388,15583,32.93694444,0A8,87.09055556,2014,627,28196,162
389,13583,32.93694444,0A8,87.09055556,2015,1236,20833,450
390,8583,32.93694444,0A8,87.09055556,2016,985,24010,104
391,9343,61.93444444,0AK,162.8994444,2000,5404,14904,315
392,4343,61.93444444,0AK,162.8994444,2001,1060,30135,37
393,2343,61.93444444,0AK,162.8994444,2002,5895,41734,8
394,6343,61.93444444,0AK,162.8994444,2003,44,51504,126
395,1343,61.93444444,0AK,162.8994444,2004,6489,64548,6
396,16343,61.93444444,0AK,162.8994444,2005,1848,80808,120
397,10343,61.93444444,0AK,162.8994444,2006,7911,14620,56
398,343,61.93444444,0AK,162.8994444,2007,1646,11295,90
399,7343,61.93444444,0AK,162.8994444,2008,3335,5871,32
400,12343,61.93444444,0AK,162.8994444,2009,1400,55341,79
401,11343,61.93444444,0AK,162.8994444,2010,5200,45900,483
402,8343,61.93444444,0AK,162.8994444,2011,218,66044,81
403,5343,61.93444444,0AK,162.8994444,2012,4895,24514,164
404,14343,61.93444444,0AK,162.8994444,2013,350,30702,650
405,15343,61.93444444,0AK,162.8994444,2014,2844,21812,153
406,13343,61.93444444,0AK,162.8994444,2015,1250,53701,81
407,3343,61.93444444,0AK,162.8994444,2016,4185,15190,384
408,10303,64.3925,0AK0,146.8622222,2000,350,29727,170
409,5303,64.3925,0AK0,146.8622222,2001,1622,31710,56
410,7303,64.3925,0AK0,146.8622222,2002,8217,43043,368
411,12303,64.3925,0AK0,146.8622222,2003,392,45066,98
412,15303,64.3925,0AK0,146.8622222,2004,972,61083,9
413,9303,64.3925,0AK0,146.8622222,2005,460,51072,830
414,1303,64.3925,0AK0,146.8622222,2006,1755,70380,13
415,16303,64.3925,0AK0,146.8622222,2007,134,18945,225
416,13303,64.3925,0AK0,146.8622222,2008,3170,18297,172
417,8303,64.3925,0AK0,146.8622222,2009,2560,34947,51
418,11303,64.3925,0AK0,146.8622222,2010,9050,21978,672
419,3303,64.3925,0AK0,146.8622222,2011,150,10868,18
420,2303,64.3925,0AK0,146.8622222,2012,2635,11798,208
421,14303,64.3925,0AK0,146.8622222,2013,539,20094,200
422,4303,64.3925,0AK0,146.8622222,2014,858,48108,351
423,303,64.3925,0AK0,146.8622222,2015,340,64076,819
424,6303,64.3925,0AK0,146.8622222,2016,30,24780,800
425,11480,61.61694444,0AK1,149.3216667,2000,2751,31590,450
426,7480,61.61694444,0AK1,149.3216667,2001,1082,13160,51
427,480,61.61694444,0AK1,149.3216667,2002,8505,56287,400
428,13480,61.61694444,0AK1,149.3216667,2003,1344,84390,156
429,6480,61.61694444,0AK1,149.3216667,2004,1908,85833,165
430,15480,61.61694444,0AK1,149.3216667,2005,1566,27636,740
431,10480,61.61694444,0AK1,149.3216667,2006,6516,43690,70
432,8480,61.61694444,0AK1,149.3216667,2007,1148,42570,90
433,12480,61.61694444,0AK1,149.3216667,2008,4970,14364,156
434,4480,61.61694444,0AK1,149.3216667,2009,140,46431,87
435,2480,61.61694444,0AK1,149.3216667,2010,5120,19656,189
436,14480,61.61694444,0AK1,149.3216667,2011,1146,32224,32
437,16480,61.61694444,0AK1,149.3216667,2012,3590,23358,76
438,5480,61.61694444,0AK1,149.3216667,2013,228,24786,370
439,3480,61.61694444,0AK1,149.3216667,2014,156,29108,612
440,1480,61.61694444,0AK1,149.3216667,2015,1516,15770,45
441,9480,61.61694444,0AK1,149.3216667,2016,290,24430,552
442,1540,61.72555556,0AK2,150.6786111,2000,2989,29889,445
443,10540,61.72555556,0AK2,150.6786111,2001,1960,24850,82
444,14540,61.72555556,0AK2,150.6786111,2002,4392,37191,40
445,3540,61.72555556,0AK2,150.6786111,2003,674,60378,92
446,7540,61.72555556,0AK2,150.6786111,2004,7857,92367,57
447,9540,61.72555556,0AK2,150.6786111,2005,862,75768,560
